city,country
(Amsterdam,N.Y.)
(Chambersburg),Penn.
(New Bedford),United States
(Rockaway)(Rothaway),Long Island
"?, Ct",Usa
Abbingtfon,Ma
Aberdeen,Scotland
Accomack Co.,Va
Acton,Mass.
"Adam, Me",Usa
Albany,Usa
Albany N.Y.,United States
Albany Nyork,United States
"Albany, Ny",Usa
Albion,Usa
Alexander,Va
Alexandria,Dc
Allisburgh?,Mi
Almira,Usa
Almira St.,Ny
Alva,Maine
Amherst,Ma
Amora?,Ny
Anarundell,Md
Andover,United States
Andover?,Ma
Annapolis,Md
Argyle,Usa
Ashfield,United States
Ashford,Usa
Assonet Mass,United States
Astonia,Ny
"Astonia, Ny",Usa
Athens,Ny
"Athens, Ga",Usa
"Athens, Pa",Usa
Attleborough,Usa
Auburn,Usa
Augusta,Usa
Australia,England
B?,Usa
Babylon,Ny
"Babylon, Ny",Usa
Bahia,South America
Baltic,Usa
Baltimore,Md
Baltimore Md,United States
"Baltimore, Md",Usa
Bangor,Usa
Barnsley,Nh
Barnstable,United States
Barre,Ma
Bath,Usa
Bath Maine,United States
Bedford,Nh
Belchertown,Ma
Belfast,England
Belville,Usa
Berkley,Ma
"Berkley, Ma",Usa
Berlin,Usa
Berwick,Maine
Bethlehem,Nh
Bethpage,Nj
Beverly,Usa
Billerica Mass,United States
Binghampton,Usa
Birmingham,England
Blackstone,Usa
"Blackstone, Ri",Usa
Blackstone?,Usa
Blanford(?),Ct
Block Island,Ny
Bloomfield,Nj
Bloomingdale,Ny
Blumfield,Me
Bolton,Ct
Bona Vista,Cape Verde
"Bona Vista, Cape Verde",Portugal
Bonavista,Cape De Verde
Bonivesta,Portuguese
Bordeaux,France
Borzah,Ct
Boston,Ma
Boston Mass,United States
"Boston, Ma",Usa
"Boston, Ny",Usa
Bosyon,United States
Boylston,United States
Bozrah,Usa
"Bozrah, Ct",Usa
Bozrah?,Ct
Brandywine,De
Branford,Usa
Brattleborough,Vt
Brava,Usa
Bravo,Cape De Verde
Bravo[,Cape De Verdes]
Brewster,United States
Brickfield,Me
Bridgehampton,Ny
"Bridgehampton, Ny",Usa
Bridgeport,Usa
"Bridgeport, Ct",Usa
Bridgetown,Usa
Bridgewate,Usa
Bridgewater,United States
Brighton,Usa
"Brighton, Ny",Usa
Bristol,England
Bristol Ri,United States
"Bristol, Ri",Usa
Brittany,Great Britian
Brockford,Nc
"Brook Haven, Ny",Usa
Brookfield,Usa
Brookhaven,Usa
Brooklin,Usa
Brooklyn,Usa
"Brooklyn, Ny",English
Brunswick,Me
Bucks Co.,Pa
Bucksport,Me
Buffalo,Usa
"Buffalo, Ny",Usa
Burlington,Unknown
"Burlington, Vt",Great Britain
Bushwick,United States
Buxport,Usa
Cabot,Vt
Calais,Me
"Calais, Me",Usa
Caldwell,Ny
Callis,Me
Cambria,Ny
"Cambria, Ny",Usa
Cambridge,Ma
"Cambridge, Ma",Usa
Camden,Nj
Canaan,Vt
"Canaan, Vt",Usa
Canada,Great Britain
Canandaigua,Ny
Canterbury,Usa
Canton,Me
Cape Cod,Usa
Cape Da Verde,Island Of St. Vincent
Cape De Verde,Unknown
Cape Elizabeth,United States
Cape Nicholas,6 Islands
Carbondale,Usa
Carlisle,Pa
"Carlisle, Pa",Usa
"Carthage, Me",Usa
Carver,United States
"Casenovia, Ny",Usa
"Cassapolis, Mi",Usa
Castine,United States
Casts?,Usa
Cateragus Co.,Ny
"Cateragus County, Ny",Usa
Catskill,Ny
"Catskill, Ny",Usa
Cavandish,United States
Cazenovia,Ny
Chambersburg,Pa
"Chambersburg, Pa",Usa
Charleston,Usa
"Charleston, Ri",Usa
"Charleston, Sc",Usa
Charlestown,Ri
"Charlestown, Ma",Usa
"Charlestown, Ri",Usa
Charlston,S.C.
Chatham,Usa
Chatham Mass,United States
"Chatham, Ct",Usa
Chemung Co.,Ny
Chenango Bromacho,Nj
"Cherry Creek, Ny",Usa
Cheshire,Ct
Chester,Ns
Chester County,Penn
"Chester, Vermont",United States
Chester?,Usa
Chesterfield,Usa
Chicago,Usa
Chilmar,United States
Chilmarck,United States
Chilmark,United States
Chilmark Mass,United States
"Chilmark, Ma",Usa
Cincinatti,Usa
City Of New York,United States
Clayton,Ny
Cleveland,Oh
"Clifton Rock, Ny",Usa
Clinton,Nj
Clintonville,Usa
Cloverland,Usa
Coblers Hill,United States
Cochrane[?],Ny
Cocksaxie,Usa
"Cocksaxie, Ny",Usa
Coeymans,Ny
Colchester,Usa
"Colchester, Ct",Usa
Coldspring,Usa
Columbia,Usa
Columbia Co.,Pa
"Columbia, Ct",Usa
"Columbus, Ct",Usa
Concord,Ma
"Concord, Nh",Usa
Conesville,Usa
Connecticut,Usa
Conquest,Usa
Cooperstown,Ny
Coorhors?,Usa
Copenhagen,Denmark
Cork,Ireland
Cornish[?],Nh
Coventry,R.I.
"Coventry, R.I.",United States
"Coventry, Ri",Usa
Covington,Ma
Craftsbury,Vt
Cranston,Ri
"Cranston, Ri",Usa
Cumberland,Usa
Cumberland Ri,United States
Cutler,Me
Danbury,Usa
Danbury?,Usa
Danvers,Ma
Dartmouth,Ma
Dartmouth Mass,United States
"Dartmouth, Ma",Usa
Dedham,Ma
Deer Isle Maine,United States
Deerfield,Usa
Delaware,Usa
Denmark,Unknown
Dennis,Ma
Derby,Usa
Detroit,Usa
Dighton,Ma
Dorchester,Nj
Douglas,Ma
Dover,United States
Drummond,Va
Dryden,Ny
Dryden Co.,Ny
"Dryden, Ny",Usa
Dublin,Ireland
Ducher?,Ireland
Duchess Co.,Ny
Dudley,Ma
"Dudley, Ma",Usa
Durham,Usa
"Durham, Ct",Usa
Dutchess Co.,Ny
Duxbury,Usa
E. Lyme,Usa
"Earl Minden, Ny",Usa
East Chester,Ny
East Greenwich,Ri
"East Greenwich, Ri",Usa
East Haddam,Usa
"East Haddam, Ct",Sandwich Islands
East Hampton,Usa
East Hartford,Ct
East Lyme,Usa
East Lyme?,Usa
East New York,Usa
East Pork,Usa
East Windsor,Usa
East?,Ma
Eastern Shore,Md
Eastford,Ct
"Easthampton, Ny",Usa
Easton,Ma
Eastport,Usa
"Eastport, Me",Usa
Edgarton,United States
Edgartown,Ma
Edgartown Mass,United States
"Edgartown, Ma",Usa
Edgecomb,Usa
Edinborough,Scotland
Elizabethtown,Nj
Ellsworth,Me.
Embden,United States
Enfield,Ct
England,England
Erie,Pa
Essex,Usa
"Essex, Ct",Usa
Exeter,Ri
Exeter N. Hampshire,United States
"Exeter, Ri",Usa
Fabius,Ny
"Fabius, Ny",Usa
Faial,Portugal
Fair Haven,United States
Fair Haven Mass,United States
"Fair Haven, Ct",Usa
Fairfield,Usa
Fairhaven,United States
Fairhaven Mass,United States
"Fairhaven, Ma",Usa
Fall River,Ma
"Fall River, Ma",Usa
Falmouth,United States
"Falonville, Ny",Usa
Farmington,Usa
Farmington Me.,United States
"Farmington, Ct",Usa
Fayal,Azores
"Fayal, Azores",Portugal
Fayette,Me
"Fayette, Me",Usa
Felkin,Ny
Fial,Portugal
Finland?,Ireland?
Fishers Island,Ny
Fishkill,Usa
Florence,Ny
Flores,Western Island
Flushing,Usa
Fogo,Cape De Verde
Foreign,Foreign
Fort Edwards,Usa
Foxcroft,United States
Frankford,Usa
Frankfort,Usa
Franklin,Ct
"Franklin, Ct",Usa
Franklyn,Usa
Frederick Co.,Va
Fredericktown,Vp
Fredricksburg,Va.
Freetown,Ma
"Freetown, Ma",Usa
Gabarouch?,British Columbia
Galen,Ny
"Galen, Ny",Usa
Galena,Il
Galveston,Tx
Ganex,Scotland
Gardner,United States
Geneva,Usa
Georgetown,Dc
"Georgetown, Dc",United States
Georgia,Vt
German Flats,Nj
Germantown,Ny
Germany,Germany
Gibraltar,Spain
Glanciscally?,Ny
Glasbonbury,Usa
Glastonbury,Usa
"Glastonbury, Ct",Usa
Glastonbury?,Ct
Glen Cove,Ny
Glenville,Usa
Gloucester,United States
Gorham,Me
"Gorham, Me",Usa
Gorton,Usa
Goshen,Ct
"Goshen, Ct",Usa
Gouglstown?,Ny?
Gracioza,Western Islands
Grafton,Mass.
Granby,Usa
Granville,Ny[?]
"Granville, Ny[?]",Usa
Great Barrington,Usa
Great Egg Harbor,Usa
Great Falls,Usa
Greenbush,Ny
Greene Co.,Ny
Greenfield,Usa
Greenock,Scotland
"Greenport, Ny",Usa
Greensborgh,La?
Greensborough,Vt
Greenville,Usa
Greenwich,Usa
Greenwich Mass,United States
Grey,Me
Griswold,Usa
"Griswold, Ct",Usa
Groton,Usa
"Groton, Ct",Usa
"Groton, Ny",Usa
Guilford,Conn.
Haddam,Usa
Hadley,Ma
Hagerstown,Ma
Hairfield,Vt
"Hairfield, Vt",Usa
Half Moon,Ny
Halifax,Canada
Hallowel,United States
Hallowell,United States
"Hallowell, Maine",United States
Hallsburg,Ny
"Hallsburg, Ny",Usa
Hamilton,Ny
Hampden,Me
"Hampden, Me",Usa
Hampstead,United States
Hampton,Ct
"Hampton, Ct",Usa
Hanson,United States
Hardwick,Ms(?)
Harlem,Ny
Harmony,United States
Harpswell,Me
Harrington,Nj
Harrisburg,Pa
Hartford,Ct
"Hartford, Ct",Usa
Harvard,United States
Haventrea,Ny?
Haverhill,Ma
Haverill,Ma
Haverstraw,Usa
Havre,France
Hebron,Ct
Hempstead,Usa
Hemstead,Usa
Hillsborough,United States
Hillsdale,Usa
"Hillsdale, Ny",Usa
Hingham,Massachusetts
Hoboken,Nj
Holden,Usa
Holland,Me
Hollann Purder,Ny
Hollis,Nh
Holliston,Usa
Holmes Hole,Usa
Holmes Hole Vinyd,United States
Holmes Hole [-],United States
Holton,Me
Hong Kong,China
"Hong Kong, China",China
Hope,Ny
Hopewell,Usa
"Hopewell, Ny",Usa
Hopkinton,Ri
Horntown,Va
"Horntown, Va",Usa
Hudson,Ny
Hudson Ny,United States
"Hudson, Ny",Usa
Hunter,Ny
"Hunter, Ny",Usa
Huntington,Ny
"Huntington, Ny",Usa
"Huntington, Pa",Germany
"Indistry, Maine",United States
Industry,Maine
Iowa,Usa
Ipswich,Usa
Ireland,Great Britain
Isle Of Man,England
Ithaca,Ny
Ithica,United States
"Jackson, Pa",Usa
Jacksonville,Usa
Jamaica,Usa
Jefferson Co.,Ny
Jericho,Vt
Jerrico,Ny
Jersey,English
Jersey City,Usa
Jewett City,Usa
Johnson,Ri
Johnstown,Usa
Keene,Nh
Kenebec,United States
Kennebunk,Usa
Kent,Usa
Kent Co.,Ny
Kentucky,Usa
Keyport,Usa
Killingly,Ct
Kinderhook,Usa
"Kinderhook, Ny",Usa
Kingston,Great Britain
"Kingston, Ny",Usa
Kingstown,Ri
Kortright,Ny
Lancashire,Usa
Lancaster,Penn.
Lancaster Co.,Pa
Lancester,Pa
Landgate,Vt
Landuff,United States
Lanesboro,Ma
Lansinburgh,Usa
Lay Karbrom,Usa
Lebanon,Ct
"Lebanon, Ct",Usa
Ledyard,Usa
"Ledyard, Ct",Usa
Leeds,England
Leipsic,Usa
Leverett,United States
Lewiston,Ny
Lewiston Falls,Usa
Lewistown,Usa
Lexington,Ky
"Lexington, Mass",United States
Lima,Usa
Lisbon,Ct
"Lisbon, Ct",Usa
Litchfield,Ct
"Litchfield, Ct",Usa
Little Compton,United States
Little Compton R.I.,United States
"Little Compton, Ri",Usa
Little Egg Harbor,Usa
"Little Falls, Nj",Usa
Liverpool,England
Lockport,N.Y.
London,England
Long Island,Usa
Louisville,Ky
"Louisville, Ky",Usa
Lowell,Ma
"Lowell, Ma",Usa
Lowell?,Usa
Lyme,Ma
"Lyme, Ct",Usa
"Lyme, Ct.",Usa
Lynchburg,Va
Lyndborough Nh,United States
Lyne,Usa
Lynn,Ma
"Lynn, Ma",Usa
Lyons,Ny
"Lyonstown, Ny",Usa
Lysanda,Usa
M?,Usa
Machias,Me
"Machias, Me",Usa
Macon,Ga
"Macon, Ga",Usa
Madison,Wi
Madison Co.,Ny
Maine,Usa
Malden,Ma
Manaynik,Usa
Manchester,Usa
"Manchester, England?",England
"Manchester, Nh",Usa
Mansfield,Ma
"Mansfield, Ma",Usa
Marblehaed,United States
Marblehead,Usa
Marion,United States
Marlboro,Ny
Marlborough,Usa
"Marlborough, Ct",Usa
Marston,Ny
Martha'S Vineyard,Ma
"Martha'S Vineyard, Ma",Usa
Marthas Vineyard,Ma
Maryland,United States
Mashpee,United States
"Mashpee, Mass",United States
Massachusetts,Usa
Masselleville,Ny?
Mauspiela?,Usa
Medford,Ma
Medway,Usa
Melville,Nj
Mendon,Ma
"Mendon, Ma",Usa
Mercy,Usa
Meredith,Ny
Meriden,Usa
Middleborough,United States
Middlebrook,United States
Middlebury,Vt
"Middlebury, Vt",Usa
Middleton,Ct
"Middleton, Ct",Usa
Middletown,Usa
Middletown Point,Nj
Milford,Usa
Millbury,Ma
"Millbury, Ma",Unknown
Milwakie,Usa
Moborough,Ct
Mohawk,Ny
Mohegan,Usa
Monmouth,Usa
Monmouthshire,England
Monroe Co.,Usa
Montgomery,Ny
Montgomery Co.,Md
Montgony,Ny
Montreal,Canada
"Montreal, Canada",Upper Canada
Montville,Usa
"Montville, Ct",Usa
Moriah,Ny
"Moriah, Ny",Usa
"Morovia, Pa",Usa
Morristown,Usa
Mount Pleasant,Ny
Mt. Vernon,United States
Munson,Ma
Murray Ny,United States
Murry,Ny
Mystic,Usa
"Mystic, Ct",Usa
N. Bedford,United States
N. S.,Usa
Nantucket,Ma
"Nantucket, Ma",Usa
Nantz,France
"Nassau, Nh",Usa
Needham,Usa
New,United States
New Bedford,Ma
New Bedford Mass,Portugal
New Bedford Petersburg Va,United States
"New Bedford, Ma",Usa
"New Bedford,Ms",United States
New Bedfrod,United States
New Beford,United States
New Berry,Massachusetts
New Boston,Newhampshire
New Britain,Usa
New Brunswick,Nj
"New Brunswick, Nj",Usa
"New Castle, Me",Usa
New Hampshire,United States
New Haven,Usa
"New Haven, Ct",Usa
New Jersey,Usa
New Lebanon,Ny
New London,Usa
"New London, Ct",Usa
New Orleans,Usa
"New Orleans, La",Usa
New Port,United States
New Salem,Ma
New Scotland,Ny
New Town,Ma
New York,Usa
New York City,Usa
"New York, Ny",Usa
New York?,Usa
Newark,Usa
"Newark, Nj",Usa
Newberg,Usa
Newbern,Nc
"Newbern, Nc",Usa
Newburg,Usa
"Newburg, Ny",Usa
"Newburg?, Ma",Usa
Newburgh,Ny
"Newburgh, Ny",Usa
Newbury Port,United States
Newburyport,United States
"Newburyport, Ma",Usa
Newcastle,Me
Newington,Nh
Newmarket,Newhampshire
Newport,Ri
Newport Ri,United States
"Newport, Ri",Usa
Newton,Usa
"Newton, Ny",Usa
Newtown,Ct
Newyork,Usa
Niagra,Ny
Niagra Co.,Ny
Nipper Knock,Usa
Noank,Usa
"Noank, Ct",Usa
Nomansland,United States
Norfolk,Usa
"Norfolk, Ct",Usa
North Andover,Ma
North Glastonbury,Usa
"North Glastonbury, Ct",Usa
North Island,Ny
North Kingston,United States
North Kingstown,Ri
North Madison,Ct
North Mansfield,Usa
North Providence,Usa
North Stonington,Usa
Northumberland,Pa
Norton,United States
Norwalk,Ct
"Norwalk, Ct",Usa
Norway,Me
"Norway, Me",Usa
Norwich,Usa
Norwich Falls,Usa
"Norwich, Ct",Usa
"Norwich, Ny",Usa
Norwich?,Usa
Nottingham Nh,United States
Nova Scotia,Great Britain
Null,Null
Oahu,Sandwich Islands
"Oahu, Sandwich Islands",Sandwich Islands
Odgensburg,Ny
Ogdensburg,Ny
"Ogdensburg, Ny",Usa
Ohio,Unknown
Old Town,Usa
Old Warwick,Ri
Oneida Co.,Usa
"Oneida Co., Ny",Usa
Onondaga,Usa
Ontario Co.,Ny
Ophe?,West Canada?
Orange,Usa
Orange Co.,Ny
"Orange, Nj",Usa
Orleans,Ny
Orrington,United States
Oswego,Ny
Oswego Co.,Ny
"Oswego, Ny",Usa
Otahita,Society Islands
Otis,Ma
Otsego Co.,Ny
Oxford,Ny
"Oxford, Ny",Usa
"Oxford, Pa",Usa
Oyster Bay,Ny
Palmyra,Usa
Paris,Ny
Parrisburg/Cattaraugus,Usa
Patterson,Nj
Paupey[?],Usa
Pawcatuck,Usa
Pawtucket,Ri
Paynesville,Oh
Peekskill,New York
"Peekskill, Ny",Usa
Pembroke,United States
Pennington,Nj
Pennsylvania,Usa
Pepperell,Usa
Perth Amboy,Usa
Peru,Ny
Peterburg,N.Y.
Petersburg,Va
"Petersburg, Va",Usa
Petersham,Ma
Phelps,Ny
Phelpstown,Ny
Philadelphia,Usa
"Philadelphia, Pa",Usa
Phillipston,Usa
Pico,Azores
"Pico, Azores",Portugal
"Pittsburg, Pa",Usa
Pittsburgh,Pa
Pittsfield,United States
"Pittsfield, Ma",Usa
Pittsford,Usa
Pittstown,Ma
Plainfield,Nj
"Plainfield, Nj",Usa
Platthill,Usa
Platts Ferry?,Ct
Plattsburg,Usa
Plattsburgh,Ny
Plum Island,Usa
Plymouth,United States
"Plymouth, Ma",Usa
"Plymouth, Nc",Usa
Pokeepsie,N.Y.
"Pomfret, Ct",Usa
Pompey,Ny
Port Henry,Usa
Porter,Me
Portland,Usa
Portland Maine,United States
"Portland, Me",Usa
Portsmith R.I.,United States
Portsmouth,Ri
"Portsmouth, Ri",Usa
Portugal,Portugal
Pottstown,Nj
Poughkeepsie,Usa
Preston,Usa
"Preston, Ct",Usa
"Produce, Ri",Usa
Prospect,Usa
Providence,Usa
"Providence, Ri",Usa
Provincetown,Usa
Quebec,Canada
Randolph,Usa
"Randolph, Ma",Usa
Rarotonga,Otahiti
"Rarotonga, Otahiti",Atahiti
Ravenna,Oh
"Ravenna, Oh",Usa
Raynham,United States
"Raynham, Mass",United States
Red Bank,Nj
Red Hook,Usa
Redding,Mass.
Redpath,Ny?
Remaston?,Ma
Rhionsiew?,France
Rhode Island,Usa
Richmond,Usa
"Richmond, Va",Usa
Richmondtown,Ri
Ridgefield,Usa
Riverhead,Ny
"Riverhead, Ny",Usa
Rochester,Usa
"Rochester, Ma",Usa
"Rochester, Ny",Usa
Rockland Co.,Ny
Rockport,Ma
Rome,Ny
Rotchester,United States
Roxbury,Ma
"Roxbury, Ma",Usa
"Roxbury, Nj",Usa
Rush,Usa
Rutland,Vt
S Kingston Ri,United States
S. Kingston Ri,United States
S?,Nj
Saco,Maine
Sag Harbor,Usa
"Sag Harbor, Ny",Usa
Sag Harbour,Usa
Salem,Ma
"Salem, Ct",Usa
"Salem, Ma",Usa
"Salem, Nj",Usa
Salesbury,Usa
Salmon Falls,Usa
Sanduinton?,Usa
Sandwich,Nh
Sandwich Islands,Usa
Sandwich Mass,United States
Sandwich?,Unknown
Sanford,Usa
Saracas?,Pa
Saratoga,Usa (Naturalized)
Saugus Mass,United States
Savannah,Usa
Savoy Lake,Ny
Scaford [?],Usa
Schenectady,Ny
Schoharie,Usa
"Schoharie Co., Ny",Usa
Schuylkill Co.,Pa
Scituate,Usa
"Scituate, Ma",Usa
Scotland,England
Seekonk,United States
Shapley,Maine
Sharon,Ma
Sheffield,Ma
Shelter Island,Usa
Shoreham,Vt
Shrewsbury,United States
Sidney,Me
Sindon ?,Usa
Sing Sing,Usa
Situate,Ri
Smithfield,Ri
Smithtown,Nj
"Smithtown, Ny",Usa
Smithville,Ny
"Smithville, Ny",Usa
Snow Hill,United States
Somers,Ct
Somerset,Ma
"Somerset, Ma",Usa
Somersett,United States
Somersworth,Newhampshire
Sommerville,Usa
Somus,Ct
South Berwick,Me
"South Berwick, Me",Usa
"South Dartmouth, Ma",Usa
South Deerfield,Usa
South Glastenbury,Usa
South Hadley,Ma
South Hampton,Usa
"South Hampton, Ny",Usa
"South Hanly, Ma",Usa
South Kingston,Ri
"South Kingston, Ri",Usa
South Kingstown,Ri
South Reading,Mass.
Southampton,Ny
"Southampton, Ny",Usa
"Southbury, Ct",Usa
Southold,Usa
"Southold, Ny",Usa
Southwick,Ma
"Southwick, Ma",Usa
Spencer,Ma
"Spencer, Ma",Usa
Springfield,Usa
"Springfield, Ma",Usa
St Geoerge,Maine
St Johns,Nb
St Michael,Azores
"St Michael, Azores",Portugal
St. Albans,Vt
"St. Albans, Vt",Usa
St. Augustine,Fl
St. Charles,Central America
St. Croix,Nj
St. George,Azores
St. Helena,England
St. Johns,Nb
St. Jorge,Azores
"St. Jorge, Azores",Portugal
St. Joseph,Portugal
St. Michael,Azores
St. Nicholas,Cape De Verde
Stafford,Usa
"Stafford, Ct",Usa
"Stafford, Ny",Usa
Stamford,Ct
"Stanford, Ct",Usa
"State Bridge, Ny",Usa
Sterling,Ct
Steuben,Me
Stillwater,Ny
Stockbridge,Ma
Stockport,Ny
Stoddard N.H.,United States
Stonington,Usa
"Stonington, Ct",Usa
Stoughton,Ms
Sturbridge,Ma
"Suffield, Ct",Usa
Sumberland[?],Ny
Summerville,Ny
"Summerville, Ny",Usa
Sunderland,England
Sunny? Plains,Usa
"Sutton, Vt",Usa
Swansey,Ma
Swanzey,Ms.
Swanzey Swansea),Ma
"Swanzey Swansea), Ma",Usa
Syracuse,Ny
"Syracuse, Ny",Usa
Tahiti,Society Islands
"Tahiti, Society Islands",Usa
Tarryville,Ct
Taunton,Ma
"Taunton, Ma",Usa
"Taunton, Mass",United States
"Terryville, Ct",Usa
Thomastown,Me
Thorton,Us
Thorton Nh,United States
Ticonderoga,Usa
Tioga,Ny
Tisboro,United States
Tisbury,Ma
"Tisbury, Ma",Usa
Tiverton,Ri
Tiverton R.I.,United States
Tiverton Ri,United States
"Tiverton, Ri",Usa
Toledeo,Oh
Tolland,Ct
"Tolland, Ct",Usa
Topsham Maine,United States
Toronto,Canada
Townsend,United States
Trenton,Nj
Tristan Da Cunha,England
Troy,Ny
"Troy, Ny",Usa
Tuftonborough,United States
Turin,Ny
"Turin, Ny",Usa
Tyingsboro Mass,United States
Ulster Co,Ny
"Ulster Co., Ny",Usa
Uncasville,Ct
Unknown,Unknown
"Unknown, New London",Unknown
Upper Canada,Usa
Upton,Ma
Usa,Usa
Utica,Ny
"Utica, Ny",Usa
Uxbridge,Ma
Vermont,Usa
Vernon,Usa
"Vernon, Ct",Usa
"Vernon, Ny",Usa
Vineyard,United States
Virginia,Usa
Voluntown,Usa
"Voluntown, Ct",Usa
Wakefield,Newhampshire
Wallabout?,Ny
Waltham,Ma
Walton,Ny
Ware,Nh
Wareham,Ma
Wareham Mass,United States
"Wareham, Ma",Usa
Warren,Rhode Island
"Warren, Ri",Usa
Warwick,Ri
Washington,Usa
Washington City,Usa
Washington Co.,Ny
"Washington, Dc",Usa
Waterbury,Usa
Waterford,Usa
"Waterford, Ct",Usa
Waterford?,Usa
Watertown,Ma
"Watertown, Ma",Usa
Waterville,Me
Wayland,Ma
Wayne Co.,Md
Wellfleet,Ma
Wellington,United States
Wells,Usa
West Bridgewater,United States Of America
West Cambridge,Usa
West Chester,Usa
West Farms,Usa
West Greenwich,Ri
West Hampton,Usa
West Springfield,Usa
"West Stockbridge, Ma",Usa
West Troy,Usa
Westchester,Ny
Westerly,Usa
"Westerly, Ri",Usa
Western Islands,Foreign
Westfield,Ma
"Westfield, Ma",Usa
Westmaid,Ireland
Westmoreland,N.H.
"Westmoreland, N.H.",United States
Westmorelond,Newhampshire
Weston,Ct
"Weston, Ny",Usa
Westport,Ma
Westport Mass,United States
"Westport, Ma",Usa
Westport?,Ct
Westpott,United States
Wethersfield,Usa
Weymouth,Me
Whilte Wall,Ny
White Hall,Ny
White Plains,Ny
Whitefield,Me
Whitehall,N.Y.
Whitestown,Ny
Whittingham,Nj
Wicksburg,Usa
Williamsburg,Usa
"Williamsburg, Ny",Usa
Willimantic,Usa
Wilmington,De
Wilmington Nc,United States
Wilton,Ct
Windham,Usa
"Windham, Ct",Usa
Windsor,Usa
Windsor Connt.,United States
"Windsor, Ct",Usa
Winslow,Usa
Winthrop,Me
Wiscapett,United States
Wiscasett,America
Wiscasset,Usa
Woborn,Ma
Wolcott,Ct
Woodbridge,England
Woodstock,Ny
Wooster,Oh
Worcester,Usa
"Worcester, Ma",Usa
"Worcester, Ny",Usa
Wrentham,Ma
Yarmouth,Maine
"Yarmouth, Maine",United States
Yates Co.,Ny
Yonkers,Usa
Yorkshire,England
Yorktown,Va
Zanesville,Oh
[Bedford] Mass,United States
[Keen],United States
[Kingston,N.J.]
[Portland],United States
[Wausne],United States
